enfermedad,user_post,lemma_post,user_comment,lemma_comment
Alzheimer,diariodejorgetv,['desconocido'],sara,"['creer', 'tiempo', 'abuelo', 'limitado', 'querer', 'disfrutar', 'malo', 'hacer', 'feliz']"
Alzheimer,diariodejorgetv,['desconocido'],✨💜Zamara19✨💜,"['cuánto', 'dar', 'tener', 'veo', 'bien', 'decisión', 'verdad', 'vida', 'pasar', 'vez', 'arrebatar', 'querer', 'ahi', 'vida', 'cuidad', 'siempre', 'mayor']"
Alzheimer,diariodejorgetv,['desconocido'],Sara🩵👸🏼,"['hacer', 'mismo', 'abuela', 'vida', 'daría', 'hacer']"
Alzheimer,diariodejorgetv,['desconocido'],maytexu,"['entender', 'perfecto', 'perfecto', 'esque', 'abuela', 'abuela']"
Alzheimer,diariodejorgetv,['desconocido'],Natalia Linares Bausells,"['cuidir', 'abuela', 'morir', 'hacer', 'vida', 'buen', 'nieta', 'señor']"
Alzheimer,diariodejorgetv,['desconocido'],Maria Valencia,"['señora', 'razónporque', 'poder', 'atentar', 'vivir', 'abuelapero', 'día', 'estar', 'vera', 'formado', 'propio', 'familiay', 'plan', 'vejez', 'quedara', 'solo', 'año', 'pasanpuedir', 'amar él', 'vivo']"
Alzheimer,diariodejorgetv,['desconocido'],Ssofiadavalos,"['madre', 'madre', 'preocupar', 'hija']"
Alzheimer,diariodejorgetv,['desconocido'],Amanda Cruz Marrero,"['exactamente', 'vida', 'pasar', 'justamente', 'dar', 'marcha', 'atrás', 'pasar', 'tiempo', 'abuelo', 'disfrutar', 'sino', 'tiempo', 'lado', 'tristemente', 'corto', 'parecer', 'maravilloso', 'así', 'abuela', 'abuelos', 'cambio', 'todo', 'vida']"
Alzheimer,diariodejorgetv,['desconocido'],airiss177,"['preocupación', 'abuela', 'hija', 'sentir', 'hacer', 'tiempo', 'regresar', 'importante', 'pasar', 'tiempo', 'abuelos', 'padr', 'formar', 'vida']"
Alzheimer,diariodejorgetv,['desconocido'],celiacb02,"['amigo', 'joven', 'abuela', 'terminara', 'ir', 'disfrute', 'mientras', 'poder']"
Alzheimer,diariodejorgetv,['desconocido'],Chile,"['lindo', 'escuchado', 'hoy']"
Alzheimer,diariodejorgetv,['desconocido'],tiktok borra mi video ya!!!,"['verdadero', 'orgullo', 'enhorabuena']"
Alzheimer,diariodejorgetv,['desconocido'],cristinabarboza73,"['ayudalar', 'hija', 'tiempo', 'saber', 'buena', 'mano', 'abuelo', 'simple', 'opiniónyo', 'hicir', 'asíhasta', 'hacer', 'tres', 'mesesque', 'mami']"
Alzheimer,diariodejorgetv,['desconocido'],lilirodriguez5358,"['dar', 'gracia', 'dios']"
Alzheimer,diariodejorgetv,['desconocido'],CARMEN ROSA,"['déjalar', 'cambiar', 'hacer', 'amor', 'manera', 'poder', 'cambiar', 'ise', 'mismo', 'hermano', 'cuidamos', 'señora']"
Alzheimer,diariodejorgetv,['desconocido'],Vero🌺  // UGC🍁,"['osear', 'nieta', 'enteir', 'hija', 'final', 'tiempo', 'limitado', 'faltar', 'destroza', 'entiendo', 'madre', 'querer', 'hija', 'dia', 'descanse', 'salir', 'amigo']"
Alzheimer,diariodejorgetv,['desconocido'],Luis Ruiz Carrasco,"['mundo', 'revés']"
Alzheimer,diariodejorgetv,['desconocido'],Mumi,"['totalmente', 'acuerdo']"
Alzheimer,diariodejorgetv,['desconocido'],Maria Jesus Pajarin,"['hijo', 'igual', 'preocupar', 'padre', 'alzheimer', 'tiempo', 'padre', 'ejemplar', 'buen', 'hijo', 'así', 'déjalar', 'hacer', 'creer', 'conveniente']"
Alzheimer,diariodejorgetv,['desconocido'],Federico Jimenez,"['bonito', 'historia', 'gusta', 'abuelo', 'quizás', 'historia', 'hijo', 'vida', 'pasar', 'igual', 'hacer', 'voluntad']"
Alzheimer,diariodejorgetv,['desconocido'],rosi zaballos,"['ojalá', 'sara', 'mundo']"
Alzheimer,diariodejorgetv,['desconocido'],Ruben Seva Albertĺ,"['diar', 'abuela', 'marche', 'nunca', 'nadie', 'dirar', 'maximo', 'abuela']"
Alzheimer,diariodejorgetv,['desconocido'],Lau,"['aprovechar', 'tiempo', 'quedar', 'abuela', 'gran', 'abuela', 'vida', 'pasar', 'dio', 'recompensar', 'tiempo', 'usted', 'tiempo', 'perdido', 'hija', 'tiempo', 'valer', 'oro']"
Alzheimer,diariodejorgetv,['desconocido'],Ferial Dris,"['hija', 'tampoco', 'tanto', 'malo', 'ojalá', 'todo', 'igual', 'cuidar', 'familiar']"
Alzheimer,diariodejorgetv,['desconocido'],estherfm7,"['ojalá', 'nieto', 'así', 'saber', 'suerte', 'tener', 'hija']"
Alzheimer,diariodejorgetv,['desconocido'],maximufiel,"['parecer', 'honesto', 'persona', 'gran', 'corazón', 'persona', 'así', 'poco']"
Alzheimer,diariodejorgetv,['desconocido'],Cosme.Fulano,"['situación', 'complejo', 'cuidado', 'abuela', 'gusto', 'palabra', 'clave', 'decir', 'mismo', 'obligación', 'cuanto', 'llegar', 'ecuación', 'llegar', 'verdadero', 'dilema']"
Alzheimer,diariodejorgetv,['desconocido'],Lurqa,"['alomejor', 'hacer', 'hacer', 'nadie', 'pensado', 'dile', 'hija', 'vete', 'viaje', 'quedo']"
Alzheimer,diariodejorgetv,['desconocido'],Nathy__pelusoo,"['sentimiento', 'hija', 'abuelo', 'entender', 'abuela', 'querer', 'nacer', 'abuelos', 'día', 'ir', 'querer', 'vivir', 'maximo', 'punto', 'mayor', 'edad', 'saber', 'quiere', 'respeta', 'querer', 'abuela']"
Alzheimer,diariodejorgetv,['desconocido'],Silvi,"['cuidir', 'madre', 'alzheimer', 'recién', 'hijo', 'año', 'arrepiento', 'haber él', 'cuidar']"
Alzheimer,diariodejorgetv,['desconocido'],Gema,"['decir', 'interior', 'bastar', 'niña', 'saber', 'hacer', 'aquí', 'mismo', 'decir', 'devoción', 'afortunado', 'abuelo', 'evidentemente', 'poder', 'tener él']"
Alzheimer,diariodejorgetv,['desconocido'],Maria 200208,"['chico', 'problema', 'chico', 'valor']"
Alzheimer,diariodejorgetv,['desconocido'],isa BeL,"['perder', 'amigo', 'abuelo', 'mejor', 'poner', 'hacer', 'agradeci', 'cada', 'momento', 'aquel', 'amigo', 'amigo']"
Alzheimer,diariodejorgetv,['desconocido'],Sueños✨,"['sara', 'madre', 'decir', 'orgulloso', 'amiga', 'pensar', 'pues', 'sentir', 'decir', 'amigo']"
Alzheimer,diariodejorgetv,['desconocido'],Yolanda Garzon,"['hacer', 'nadie', 'querer', 'hacer él']"
Alzheimer,diariodejorgetv,['desconocido'],Georgina Hernández,"['vivo', 'zar', 'val', 'oro']"
Alzheimer,diariodejorgetv,['desconocido'],Jonny Soto,['marino']
Alzheimer,diariodejorgetv,['desconocido'],ROM🍉,"['sara', 'persona', 'hacer', 'seguir', 'humanidad']"
Alzheimer,diariodejorgetv,['desconocido'],naciparaserlibre11,"['alma', 'bonito']"
Alzheimer,diariodejorgetv,['desconocido'],kuturi,"['gran', 'corazon']"
Alzheimer,diariodejorgetv,['desconocido'],Simplemente yo,"['sara', 'buen', 'persona', 'cuidar', 'abuela', 'alzheimer', 'mérito', 'mayor', 'estudia', 'forma', 'bien']"
Alzheimer,diariodejorgetv,['desconocido'],victortfz012,"['chica', 'guapo']"
Alzheimer,diariodejorgetv,['desconocido'],jadegreen673,"['mucho', 'gracias', 'comentario', 'tanto', 'hermoso', 'gente', 'tanto', 'bonito', 'hermoso', 'agradecer', 'apoyo', 'palabras', 'cariño']"
Alzheimer,diariodejorgetv,['desconocido'],Mp.3333,"['sara', 'increíble', 'solo']"
Alzheimer,diariodejorgetv,['desconocido'],noemi,['maravilla']
Alzheimer,diariodejorgetv,['desconocido'],Cecigs,['lindo']
Alzheimer,diariodejorgetv,['desconocido'],Luis Reyes,['trabajar']
Alzheimer,diariodejorgetv,['desconocido'],Dulce ZC,"['chico', 'alma', 'blanco', 'tener', 'mucho', 'bendición', 'vuelta', 'vida']"
Alzheimer,diariodejorgetv,['desconocido'],maytechu😉,"['figurar', 'cuidador', 'duro', 'triste', 'valorado', 'sacrificado', 'chica', 'maravilloso', 'arrepentirar', 'nunca', 'cuidar', 'perdera']"
Alzheimer,diariodejorgetv,['desconocido'],j.emilio_b._juarez,"['gente', 'así', 'mundo', 'porfa']"
Alzheimer,diariodejorgetv,['desconocido'],vanesa ag🐈‍⬛,"['sara', 'joven', 'salir', 'hacer', 'sociedad', 'siempre', 'poder', 'salir', 'despejar él', 'vida', 'cuidador', 'durar', 'mucho', 'vez', 'descuido', 'propio', 'vida']"
Alzheimer,diariodejorgetv,['desconocido'],yorman_36,"['nombre', 'zar', 'red', 'seguir él']"
Alzheimer,diariodejorgetv,['desconocido'],Ricky la figura,"['sara', 'bello']"
Alzheimer,diariodejorgetv,['desconocido'],katia,"['persona', 'sar', 'mundo', 'cruel']"
Alzheimer,diariodejorgetv,['desconocido'],Karinboge,"['gran', 'mujer', 'madre']"
Alzheimer,diariodejorgetv,['desconocido'],Georgina Hernández,"['así', 'madre', 'premio', 'llevar', 'hombre', 'enamorar', 'llevar', 'diamante', 'bruto', 'chico', 'distinguido', 'tanto', 'juventud', 'hoy', 'día', 'principio', 'valor', 'diamant', 'así', 'sobrar', 'dedo', 'mano', 'creer', 'encima', 'guapo', 'sencillo', 'oro', 'puro', 'chiquita']"
Alzheimer,diariodejorgetv,['desconocido'],Diieego,"['dar', 'conocer él']"
Alzheimer,diariodejorgetv,['desconocido'],Magda.1992,"['mejor', 'sara', 'metez']"
Alzheimer,diariodejorgetv,['desconocido'],C4rllos Est,"['incómodo', 'sentar él']"
Alzheimer,diariodejorgetv,['desconocido'],.,"['especial', 'cuidar', 'abuela', 'o él']"
Alzheimer,diariodejorgetv,['desconocido'],carmenrubioagui83,"['maravilloso', 'nieta', 'buen', 'hija', 'merez', 'bueno', 'vida']"
Alzheimer,diariodejorgetv,['desconocido'],sergiojt03,"['suerte', 'chico']"
Alzheimer,diariodejorgetv,['desconocido'],Fernanda,"['alma', 'bonito']"
Alzheimer,diariodejorgetv,['desconocido'],Ana María,"['buen', 'inteligente', 'guapo']"
Alzheimer,diariodejorgetv,['desconocido'],ITZIAR,"['buen', 'persona']"
Alzheimer,diariodejorgetv,['desconocido'],María Jesus,"['mujer', 'bello', 'dentro']"
Alzheimer,diariodejorgetv,['desconocido'],Zaida Olivieri,"['sar', 'felicidad', 'gran', 'entrega', 'cuidado', 'abuela', 'logro', 'seguir', 'así', 'bravo', 'persona']"
Alzheimer,diariodejorgetv,['desconocido'],J,['guapo']
Alzheimer,diariodejorgetv,['desconocido'],Rafa Bonilla,"['cuantar', 'hermosura', 'ser']"
Alzheimer,diariodejorgetv,['desconocido'],emanu_vf19,"['lindo', 'sara']"
Alzheimer,diariodejorgetv,['desconocido'],oncesesenta9606,['encantar']
Alzheimer,diariodejorgetv,['desconocido'],usuario_nuevo,['lindo']
Alzheimer,diariodejorgetv,['desconocido'],fert13,"['belleza', 'zar']"
Alzheimer,diariodejorgetv,['desconocido'],Jonathan Rojas,"['dama', 'hermoso']"
Alzheimer,diariodejorgetv,['desconocido'],Nestor Gomez,"['hermoso', 'mujer']"
Alzheimer,diariodejorgetv,['desconocido'],Darth Vader,"['very', 'beautiful']"
Alzheimer,diariodejorgetv,['desconocido'],JAVIER.,"['hermoso', 'sara']"
Alzheimer,diariodejorgetv,['desconocido'],milo,['hermoso']
Alzheimer,diariodejorgetv,['desconocido'],Zurc,['hermoso']
Alzheimer,diariodejorgetv,['desconocido'],user1p8n374rtw,['sara']
Alzheimer,diariodejorgetv,['desconocido'],lakers,"['exelente', 'mujer']"
Alzheimer,diariodejorgetv,['desconocido'],Parrafancar,"['lindo', 'zar']"
Alzheimer,diariodejorgetv,['desconocido'],Wr,"['bonito', 'zara']"
Alzheimer,diariodejorgetv,['desconocido'],Renato Galvez,"['simplemente', 'hermoso', 'cautivante']"
Alzheimer,diariodejorgetv,['desconocido'],Arcano,"['grande', 'sara', 'dio', 'bendecir']"
Alzheimer,luislozano1999,['desconocido'],rulla_75,"['disfrútala', 'pueda', 'besazo']"
Alzheimer,luislozano1999,['desconocido'],CONCHI MARTÍN 🌹🌹🌹,"['parecer', 'genial', 'ejemplo', 'seguir', 'compra', 'cuanto', 'peso', 'gracias']"
Alzheimer,luislozano1999,['desconocido'],Mayte Aguilar Galvez,['lindo']
Alzheimer,luislozano1999,['desconocido'],Caty Salas Marques,['bonito']
Alzheimer,luislozano1999,['desconocido'],Carmen M Cruz,['ir']
Alzheimer,luislozano1999,['desconocido'],Peanut88,['maravilla']
Alzheimer,luislozano1999,['desconocido'],F,"['ojalá', 'mejorar']"
Alzheimer,luislozano1999,['desconocido'],celia_pp_03,"['madre', 'agujeta', 'después', 'contarás', 'consejo']"
Alzheimer,luislozano1999,['desconocido'],Rebeca Lopez,['bello']
Alzheimer,luislozano1999,['desconocido'],🌹🌹,"['olé', 'campeonar']"
Alzheimer,luislozano1999,['desconocido'],Gaviota,"['bendición', 'amor', 'paciencia']"
Alzheimer,luislozano1999,['desconocido'],delcarmencarrillo,"['bueno', 'felicitación', 'dio', 'seguir', 'bendecir', 'dándote', 'sabiduer', 'siga', 'cuidar', 'mamá']"
Alzheimer,luislozano1999,['desconocido'],ines,"['bien', 'ver', 'lindo']"
Alzheimer,luislozano1999,['desconocido'],Julia Dominguez,"['bravo', 'guapo']"
Alzheimer,luislozano1999,['desconocido'],mina,"['bien', 'ir', 'ánimo']"
Alzheimer,luislozano1999,['desconocido'],Marina Bustamante,['bien']
Alzheimer,luislozano1999,['desconocido'],Emi Gonzalez Marquez,"['menudo', 'es', 'saladasigar', 'cuidándola', 'así']"
Alzheimer,luislozano1999,['desconocido'],Soraya bayon,"['oleeeee', 'echar', 'todo', 'campeona', 'hijo', 'maravilloso', 'maravilloso', 'dos']"
Alzheimer,luislozano1999,['desconocido'],Patricia Del Viso,"['súper', 'bien']"
Alzheimer,luislozano1999,['desconocido'],mi pequeña,"['alegría', 'disfrútalo']"
Alzheimer,luislozano1999,['desconocido'],𝒃𝒂𝒍𝒕𝒂❄️,"['entender', 'subir', 'peso', 'oseo', 'come', 'encima', 'hacer', 'ejercicio', 'bajar', 'peso', 'alguien', 'explicar', 'porfa']"
Alzheimer,luislozano1999,['desconocido'],Ivan,"['bonito', 'video', 'bro', 'felicidad']"
Alzheimer,luislozano1999,['desconocido'],fefi rodriguez,"['bravo', 'campeóna']"
Alzheimer,luislozano1999,['desconocido'],Lourdes289,"['cuánta', 'razón', 'ejemplo']"
Alzheimer,luislozano1999,['desconocido'],Aura,"['conseguido', 'camiseta', 'padre', 'alzheimer', 'año']"
Alzheimer,luislozano1999,['desconocido'],Maricarmen Bernal ojuca,"['cada', 'día', 'maravilloso', 'bendición', 'hijode', 'verdad', 'luis', 'cielo', 'bien', 'ganadola', 'trata', 'amory', 'cariño', 'poco', 'hijlo', 'haceny', 'animado', 'hacer', 'ejerciciosma', 'hij', 'hacer', 'falta']"
Alzheimer,luislozano1999,['desconocido'],F,['poder']
Alzheimer,luislozano1999,['desconocido'],lunita,"['menudo', 'atleta', 'hecho']"
Alzheimer,luislozano1999,['desconocido'],Lu_cas⚡,['saludass']
Alzheimer,luislozano1999,['desconocido'],Avefénix✨,"['hermoso', 'haz', 'moverte', 'mamá', 'solo', 'ayudar', 'físicamente', 'dar', 'dignidad', 'compañío', 'alegría', 'valor', 'enorme']"
Alzheimer,luislozano1999,['desconocido'],Yolyta Gallegos,"['señora', 'bello', 'saludos', 'cordial', 'guadalajara', 'jalisco', 'méxico', 'bendición']"
Alzheimer,luislozano1999,['desconocido'],Suso,"['ejemplo', 'hijo', 'buen', 'corazón', 'dudar', 'cambi', 'nunca', 'gente', 'poco', 'abrazo']"
Alzheimer,luislozano1999,['desconocido'],Volvoreta75,"['alegría', 'vero', 'así']"
Alzheimer,luislozano1999,['desconocido'],غخشظشسثز,['puedeear']
Alzheimer,luislozano1999,['desconocido'],Eva.mam,"['grande', 'momento', 'junto', 'dilar', 'máquín', 'jaao']"
Alzheimer,luislozano1999,['desconocido'],aleja,"['mejor', 'hijo', 'dio', 'bendigar', 'siempre']"
Alzheimer,luislozano1999,['desconocido'],MCMC,"['mejor', 'enhorabuena', 'hijo', 'abrazo']"
Alzheimer,luislozano1999,['desconocido'],user631311450900,"['madre', 'hacíir', 'jugábar', 'balón', 'encantabalar', 'hacer', 'sentar él', 'levantarsepasear']"
Alzheimer,luislozano1999,['desconocido'],Gema,"['encantar', 'vero', 'así', 'disfrutar', 'ejercicio', 'tanto', 'feliz', 'centrado', 'hacer']"
Alzheimer,luislozano1999,['desconocido'],rachel,"['enhorabuena', 'consigues', 'encantar', 'ver', 'vídeo', 'bonito', 'haz']"
Alzheimer,luislozano1999,['desconocido'],t.oala,"['mejor', 'compañera', 'entreno']"
Alzheimer,luislozano1999,['desconocido'],Rosa Ruiz Ruiz,"['ayyy', 'míralir', 'bien', 'hacer']"
Alzheimer,luislozano1999,['desconocido'],jdjdjdjd,['campeonar']
Alzheimer,luislozano1999,['desconocido'],🐜manoli🐜,"['beso', 'papá', 'ir', 'campeona']"
Alzheimer,luislozano1999,['desconocido'],zulaycruz869,"['hijo', 'genial']"
Alzheimer,luislozano1999,['desconocido'],Dulcinea1107,"['recién', 'empezar', 'seguirlos', 'mirado', 'día', 'día', 'disfruto', 'sonriar', 'amor', 'trata', 'mamá', 'ánimo', 'saludos', 'buena', 'vibra', 'almoloyar', 'juárez', 'méxico']"
Alzheimer,luislozano1999,['desconocido'],La moncayita,"['bravo', 'genial']"
Alzheimer,luislozano1999,['desconocido'],Saida 👩‍👦🐣💙,"['ejemplo', 'hijo', 'seguir']"
Alzheimer,luislozano1999,['desconocido'],Valeria star,"['hijo', 'maravilloso']"
Alzheimer,luislozano1999,['desconocido'],Dancy 1970,"['querer', 'poder']"
Alzheimer,valdirene_pereiraz,['desconocido'],The Female Painter,"['how', 'comes', 'she', 'know', 'how', 'comb', 'her', 'hair', 'very', 'well']"
Alzheimer,valdirene_pereiraz,['desconocido'],🌸,"['siyayibona', 'imihlola']"
Alzheimer,valdirene_pereiraz,['desconocido'],lee,"['akafuni', 'ngezingodo', 'zakhe', 'zemicondo']"
Alzheimer,valdirene_pereiraz,['desconocido'],MIA.cool 🇰🇪🇺🇲,"['lovar', 'this', 'grandma', 'will', 'never', 'skip', 'his', 'video']"
Alzheimer,valdirene_pereiraz,['desconocido'],maman_de_aymen,"['bon', 'courage', 'franchement']"
Alzheimer,valdirene_pereiraz,['desconocido'],Jessica,"['así', 'disculpar', 'pregunta']"
Alzheimer,valdirene_pereiraz,['desconocido'],Lopees,"['ela', 'falar', 'com', 'espírito', 'kkk']"
Alzheimer,valdirene_pereiraz,['desconocido'],yo.girl.snazzyproleeigh,['nikhona']
Alzheimer,valdirene_pereiraz,['desconocido'],euuu,"['gente', 'não', 'levem', 'mal', 'mas', 'pelo', 'meu', 'ponto', 'visto', 'analisar', 'com', 'mai', 'pouco', 'profundidadar', 'claro', 'sem', 'querer', 'ofender', 'pensam', 'diferente', 'mime', 'deixar', 'claro', 'não', 'estou', 'falar', 'maldade', 'nem', 'foi', 'reparei', 'mesmo', 'dar', 'minha', 'opinião', 'assunto', 'claro', 'apenas', 'percepção', 'minha', 'mai', 'tipo', 'assim', 'esqueci', 'oque', 'falar']"
Alzheimer,valdirene_pereiraz,['desconocido'],Lanne 🌼,"['deu', 'livre', 'estou', 'com', 'minha', 'sogra', 'aqui', 'minha', 'casa', 'hoje', 'acamado', 'sinceramente', 'prefiro', 'assim', 'fase', 'pioro', 'alzaimer', 'ela', 'ficar', 'cama', 'coitado', 'minha', 'filha', 'sofrio', 'alias', 'nós', 'ela', 'discutio', 'briga', 'dentro', 'casa', 'tavo', 'sempre', 'umo', 'confusão', 'gente', 'não', 'tinha', 'paz', 'chorair', 'dia', 'meu', 'marido', 'ela', 'apesar', 'dela', 'ter', 'outro', 'filho', 'ninguém', 'nunca', 'cuidou', 'mal', 'casa', 'dela', 'não', 'ser', 'meu', 'marido']"
Alzheimer,valdirene_pereiraz,['desconocido'],Mireya Rivero,"['hola', 'dios', 'bendiga', 'llévala', 'iglesia', 'poder', 'sentir él', 'bien', 'presencia', 'señor']"
Alzheimer,valdirene_pereiraz,['desconocido'],Namukisa Olivia,"['simanyi', 'amanyo', 'gagara', 'kugwayo']"
Alzheimer,valdirene_pereiraz,['desconocido'],Clarinha,"['irritado', 'kkkkkkkkkkkkkkkkkkk', 'não', 'aguento', 'essa', 'zenir']"
Alzheimer,valdirene_pereiraz,['desconocido'],Fernanda Alves,"['ela', 'pentear', 'cabelo', 'força', 'ódio', 'kkkkkkk']"
Alzheimer,valdirene_pereiraz,['desconocido'],Mamabo,"['uyahlupha', 'gogo']"
Alzheimer,valdirene_pereiraz,['desconocido'],Tracy Kingoo,"['naeza', 'kaekelear']"
Alzheimer,valdirene_pereiraz,['desconocido'],i.escriita,"['assim', 'quar', 'acordava', 'pra', 'arrumar', 'pra', 'escola']"
Alzheimer,valdirene_pereiraz,['desconocido'],Maria Silva❤️✨️,"['ela', 'boto', 'até', 'cachorro', 'pra', 'morde', 'gente', 'mim', 'quebrou']"
Alzheimer,valdirene_pereiraz,['desconocido'],💨,"['nudo', 'siempre', 'hacer', 'parte', 'atrás', 'evita', 'golp', 'señora', 'así', 'poder', 'soltar él']"
Alzheimer,valdirene_pereiraz,['desconocido'],Raniaaa_898,"['gente', 'alguém', 'poder', 'explicar', 'exsogra', 'não', 'entendi']"
Alzheimer,valdirene_pereiraz,['desconocido'],fernandosilva1224,"['virar', 'uma', 'criança', 'novamente', 'isso', 'ter', 'quer', 'ser', 'grato', 'sempre', 'tratar', 'pessoas', 'bem', 'velhicir', 'são', 'pouco', 'teer', 'paciência', 'conosco']"
Alzheimer,valdirene_pereiraz,['desconocido'],mdcz1,"['admirar', 'paciencia', 'chico', 'dio', 'bendiga']"
Alzheimer,valdirene_pereiraz,['desconocido'],Maria Zenaide De Sousa Santos,"['ela', 'tem', 'desculpa', 'pergunto']"
Alzheimer,valdirene_pereiraz,['desconocido'],Sysy971,"['nest', 'pas', 'tout', 'simple', 'pour', 'aidants']"
Alzheimer,valdirene_pereiraz,['desconocido'],Ana Paula,[]
Alzheimer,valdirene_pereiraz,['desconocido'],Nayanne Silva🐆✨,"['ela', 'chamar', 'paizinho', 'jesus']"
Alzheimer,valdirene_pereiraz,['desconocido'],✨Dairin Sanchez✨,"['ami', 'risa', 'querer', 'pegar']"
Alzheimer,valdirene_pereiraz,['desconocido'],Ellen 🦋,"['ela', 'sua', 'sogra']"
Alzheimer,valdirene_pereiraz,['desconocido'],carola💋,"['dio', 'bendiga', 'paciencia', 'querer él', 'cuidar él']"
Alzheimer,valdirene_pereiraz,['desconocido'],Janevânia da conceição Chaves,['kkkkkkk']
Alzheimer,valdirene_pereiraz,['desconocido'],Girlania lima,"['deu', 'abençoe', 'sua', 'vida', 'não', 'fácil', 'ela', 'sua', 'mãe']"
Alzheimer,valdirene_pereiraz,['desconocido'],Eliane Soares moreira,"['cuidar', 'bem', 'sua']"
Alzheimer,valdirene_pereiraz,['desconocido'],Laressa Miranda198,"['desculpir', 'mas', 'kkkkkkkkk', 'bom', 'tem', 'paciência']"
Alzheimer,valdirene_pereiraz,['desconocido'],lilla,"['meu', 'pai', 'céu', 'peço', 'perdão', 'deus', 'mas', 'não', 'dou', 'contar', 'não']"
Alzheimer,valdirene_pereiraz,['desconocido'],Raquel Ramos3296,"['tempo', 'quisesse']"
Alzheimer,valdirene_pereiraz,['desconocido'],Beth Alves890,"['sei', 'não', 'culpar', 'dela', 'mais', 'não', 'terio', 'essa', 'paciência', 'pisicologicamente']"
Alzheimer,valdirene_pereiraz,['desconocido'],Betza Yaneth Rivera,"['parese', 'tener', 'mas', 'pasiencia', 'vivi', 'mismo', 'madre', 'año', 'ahora', 'extraño', 'hacer', 'tanto', 'falta', 'solo', 'pasado', 'saber', 'pasar', 'dios', 'ayude']"
Alzheimer,valdirene_pereiraz,['desconocido'],Juju Moreno,"['acho', 'não', 'terio', 'paciência', 'não']"
Alzheimer,valdirene_pereiraz,['desconocido'],sandrasantos,"['coitar', 'minha', 'amigo', 'val', 'deus', 'cuidir', 'lhe', 'saúde', 'sabedorio', 'tudo', 'bom', 'fim', 'uma', 'querreirar']"
Alzheimer,valdirene_pereiraz,['desconocido'],Ateliê JS Bolos e Doces 🧁🍰,"['amar', 'seu', 'vídeosacho', 'lindo', 'sua', 'paciência', 'com', 'ela', 'dou', 'muita', 'risado', 'com', 'zenir']"
Alzheimer,valdirene_pereiraz,['desconocido'],Vanessa Tomaz,"['parabéns', 'sua', 'paciência']"
Alzheimer,valdirene_pereiraz,['desconocido'],Regina Alencar,"['deu', 'paciência', 'não', 'devar', 'ser', 'fácil']"
Alzheimer,valdirene_pereiraz,['desconocido'],Maria do Socorro NUNES Santos,"['tadinha', 'cuidavo', 'uma', 'senhora', 'tbm', 'tinha', 'essa', 'doença', 'mais', 'ela', 'muito', 'amoroso', 'adoravir', 'cuidar', 'dela']"
Alzheimer,valdirene_pereiraz,['desconocido'],wilma sales,"['ela', 'pentear', 'cabelo', 'força', 'ódio', 'kkkkkkkkkk']"
Alzheimer,valdirene_pereiraz,['desconocido'],Paola Lizcano3,"['ver él', 'ver', 'madre', 'morir']"
